Nama,Bintang,Tanggal dan Waktu,Ulasan
LeLek,5,10/29/2023 6:42,"Aplikasi yg recomended untuk mempermudah dalam membeli tiket tanpa harus ngantri, aplikasi nya jika aman dan terpercaya. Sudah Sy Buktikan sendiri."
Ilfa Zauroh,5,10/22/2023 11:49,"Aplikasi Traveloka sangat membantu untuk booking tiket pesawat, kereta, bis dan hotel, di sini juga harga nya sangat terjangkau. Di jamin puas banget"
Moh Suib,1,9/22/2023 2:43,"Harga bagasi tambahan tidak akurat, saya beli bagasi tambahan saya sudah bayar sama persis sama di aplikasi, terus pihak treveloka telpon katanya harga bagasi tambahan naik mau tambah uang lagi, Kalo emang naik ya seharusnya di aplikasi treveloka naik jugak kan ini gak, sangat mengcewakan"
Putu Utama,5,10/22/2023 9:12,"Aplikasi layanan pemesanan tiket terpadu paling lengkap, proses pemesanan tiket yang cepat dan user experience yg friendly bikin nyaman gunainnya"
Zul Fahmi,5,11/4/2023 11:30,"Sangat mudah diaplikasikan Cara mudah jalan-jalan tanpa ribet, Tks Traveloka."
Farid Bppn,5,11/11/2023 10:13,"Sekarang kok gak jisa bahasa Indonesia ya.. Hrs uninstal dulu, baru instal ulang lagi.. Habis log out kembali ke setelan bhs inggris"
Yayuk Novianti,1,11/3/2023 22:52,"Update terus, 30 Oktober baru update, 3 November udah mintak update lagi... Iklan promo beserak, tapi selalu habis"
Doki Saputra,1,9/26/2023 14:00,"Pada tanggal 25 sep 2023 saya melakukan pemesanan tiket pesawat di traveloka, dimana keberangkatan pada tanggal 26 sep 2023, tiba"" penerbangan saya dibatalkan maskapai, sehingga saya melakukan reschedule pada tanggal 27 sep 2023 dan telah membayar biaya reschedule, tapi tiba"" penerbangan saya tidak jadi dipindahkan dan pemberitahuan bahwa jadwal masih yang lama tidak ada, sedangkan pembatalan diinfokan lewat WA, tolong pihak traveloka ditinjau ya, mohon bantuannya sekali??"
ari ZR,5,10/24/2023 4:21,"Traveloka ini sangat recommended bgt... Mempermudah kita dlm memesan apapun keperluan kita, mulai dari tiket bus, kereta api, pesawat, hotel dan masih byk lagi."
Marsidi 96,1,9/25/2023 0:48,"di aplikasi traveloka in yg slalu ter update ko mkin ribet di pahami, sya mau bnyar spaylater sya tpi ko g ad tertera pembayaran melalui ap, hnya tnda centang biru. Tlong di usut oleh pihak admin traveloka, krna sya mau bnyar tpat waktu."
Trolley Secondhand,5,10/29/2023 3:42,Aplikasi ny bagus sangat membantu saat ingin traveling.. Sangat mudah d akses dgn harga bersahabat..
rio fee,5,10/23/2023 8:22,"Sangat Membantu sekali, Mudah digunakan, dan tentunya tidak ribet untuk claim atau pesan pesan tiketd dimanapun bisa dan kapanpun"
Pak Haris,1,9/27/2023 8:42,Mengecewakan sekali maskapai menyediakan menu resechedul tapi diaplikasi error tanggal ga bisa diganti akhirnya sampai batas 48 jam sblm terbang pun habis aplikasi tetap ga bisa ubah tanggal nlp call center disuruh ke maskapai lapor giliran kesana sdhbga bisa lagi klaim formulir dilive chatt sampe tiketnya hangus ga ada kbrnya mulai berpikir ganti aplikasi.
Avidenaya Baan,5,11/12/2023 12:32,"Sejak menggunakan traveloka, udah gak pernah tuh pake jasa travel... Pokokx membantu banget lah dlm urusan tiketing dan perjalanan...."
Rindu Pardamean.H.S,5,10/21/2023 5:40,"Aplikasi ini sangatlah bagus,karena memudahkan saya untuk memesan tiket tanpa harus ke stasiun dulu,yg mana letak stasiun nya sangat lah jauh dari rumah saya di"
nurul wijayanti,5,11/14/2023 11:36,"Bagus, aplikasi mudah digunakan, banyak promo menarik juga, yang pasti sangat membantu banget untuk saya yang suka jalan2"
Rizky Arya Dinata,5,10/25/2023 4:50,"Saya selalu pesan tiket pesawat,hotel,kereta melalui traveloka karena mudah di akses dan harga nya pun menarik.terima kasih traveloka"
Anisha Matondang,1,9/22/2023 6:53,"Mohon untuk Traveloka kebijakannya,,,saya sudah refund jauh2 hari sebelum keberangkatan tapi saya tetap bayar paylaternya,,udah 3bulan berlangsung pembayarannya"
M Fiki Ardiansyah,5,10/12/2023 4:30,selalu percaya review dari aplikasi traveloka karena emang dinilai sesuai dan saya harap traveloka selalu berinovasi untuk lebih baik dan maju kedepannya.
Muhammad Ali Dikron,1,9/11/2023 13:42,"Payah traveloka sekarang minta di updet sudah di updet malah ga bisa kebuka bolak balik keluar dg sendirinya tk tunggu smpe bbrpa kali ttp saja ga kebuka saya kira sinyalnya yg lemot ternyata tidak, smpe tk copot intall lg copot intall lg ttp saja ngeselin, mau psn tiket jd ga bisa."
Ryan Rinaldy,5,10/27/2023 7:22,"Aplikasi no ribet, harga nya juga bersaing, bahkan kalau lucky dapat harga murah. Sy udah pakai sekitar 5 tahun gak pernah mengecewakan."
abiyu emran alfatih,5,11/16/2023 7:55,"aplikasi ini memudahkan saya ketika akan berpergian luar kota, terutama ketika akan staycation dan reservasi hotel secara online"
Dermawansyah Rizqy,5,10/29/2023 5:23,Traveloka Kerenn Abiss...Aplikasi yang memberikan pelayanan yg baik dan fitur yg lengkap. Sukses selalu untuk Travelolka
ekes disterlsya,2,9/28/2023 15:42,Tolong belajar banyak dari Bank BCA utk pelayanan Customer Service. Mereka sangat cepat tanggap untuk berbagai keluhan. Sangat disayangkan kalau aplikasi sekaliber Traveloka tidak diimbangi dengan service yg bagus ????
Ulmi Mania,2,11/17/2023 21:44,Awalnya menyenangkan skrg mengecewakan..
26. Leni Alpiani,5,11/13/2023 5:00,"Aplikasinya sangat membantu, banyak promo yg ditawarkan dan banyak pilihan destinasi wisata nya juga"
Arum Risma,5,11/16/2023 6:14,Sangat terbantu sekali dengan adanya aplikasi ini bisa memilih vacation bebas dan yang sesuai dengan keadaan
Iqbal Nurrohman,5,11/14/2023 11:16,Pelayanannya mudah dan cepat dan harga pun murah terima kasih traveloka semoga apk ini lancar dan panjang
T M Harun Al nazha,5,10/9/2023 12:18,Dengan ada nya traveloka kita bisa lebih mudah untuk memboking tiket pesawat di manapun kita berada dan harga nya juga bisa lebih murah krn ada potongan harga dri aplikasi nya
Anisa Wardani,5,10/21/2023 9:05,"Rekomendasi banget, bisa dengan mudah boking tiket pesawat dan kereta, di permudah banget sama traveloka"
Fadhil Zil Ikram,5,10/30/2023 7:44,"Perjalanan menjadi lebih mudah dan murah terjangkau dapat diakses oleh semua kalangan baik yang muda maupun tua, mantap traveloka jaya selalu"
Alexius Halawane,5,10/20/2023 8:48,Mantap aplikasi ini sangat memudahkan saya membeli tiket untuk pergi dan sangat simpel sekali untuk memesan tiketnya pkonya ini aplikasi yg sangat bagus
MUHAMMAD RIFKI ABDILAH,5,11/15/2023 9:41,"Traveloka aplikasi yang sangat bagus, semua yang ada di traveloka dapat membantu saya mulai dari hotel, tiket pesawat, dll. thnks Traveloka"
Muhammad Taufik,5,10/22/2023 7:54,"Aplikasi sangat membantu kita dalam membeli tiket pesawat, pesan hotel, dan masih banyak lagi fungsi aplikasi ini, sangat rekomended bagi teman-teman yang mau perjalan jauh."
Momy Affan channel,5,11/15/2023 20:09,"The best lah Traveloka?? Kemarin salah kirim uang ke rek Traveloka, pas sadar langsung chat Cs nya, CSnya ramah dan gercep. Alhamdulillah besoknya uang sy SDH di TF kembali bersyukur sekali terimakasih Traveloka, CS,. aplikasi amanah memang. Semoga sukses dan berkah selalu aamiin??????????"
dwisetyo mujiasih97,5,10/22/2023 6:39,"Sangat membantu, memudahkan ketika hendak perjalanan, memudahkan mencari tiket, penginapan dsb"
Yusuf Jr28_,5,11/16/2023 10:48,"Terimakasih Traveloka, karena Traveloka setiap perjalanan saya menjadi sangat mudah dan efisien. Mulai dari tiket hotel tiket kereta sampai tiket pesawat semuanya ada di Traveloka"
Sukijo Hadi,5,11/1/2023 13:40,"Semuah ada di Genggaman Hp anda tinggal bertransaksi apa yang anda pesan..tiket pesawat,hotel sangat mudah dan simpel"
Pro Gaming567,5,10/21/2023 10:39,"Harga kompetitif, banyak promo & pilihan , slain tiket & hotel, antar jemput bandara adalah yg paling sering kami gunakan. Puas pakai traveloka, aman dan terpecaya"
Ocie Zein,3,10/14/2023 2:08,"Virtual number paylater tidak bisa digunakan padahal limitnya byk katanya dg alasan keamanan gak ngerti keamanan apa, terus menu bioskop jg hilang ud gak ada lagi, mau bangkrut kali ya traveloka ini"
veronica Kartika,5,10/23/2023 3:09,"TRAVELOKA sudah bagus kak tgl 10/10/2023 kemarin saya tulis keluhan ulasan ketika di tampilan pilih� pencarian HOTEL tiba tiba dengan sendirinya kembali ke menu awal tapi semenjak kemarin saya update log out & log in kembali sudah normal lg seperti dl gk kembali� lg ke tampilan awal dengan sendirinya pertahankan,oiyaa...kl bisa CS TRAVELOKA jgn robot yg balas kak masak CS yg BLS sistim robot kalau bisa CS asli manusia/orang"
Akmal Fauzan,5,10/19/2023 10:46,"Aplikasi digital pemesan tiket kereta, tiket pesawat, hotel yang sangat mempermudah masyarakat. Selain gratis Traveloka Points, pengguna baru aplikasi Traveloka juga akan mendapatkan diskon untuk berbagai produk Traveloka seperti diskon tiket pesawat domestik, diskon hotel, diskon tiket kereta, dan diskon produk."
Nasya Delif,5,11/1/2023 9:27,Waah aplikasinya mantap sangat mudah di gunakan dan banyak promo sukses terus buat traveloka banyakin lagi promonya
Steven tok,1,10/17/2023 2:15,"Tidak bagus, aplikasi sering lompat keluar, tidak bisa memesan tiket pesawat udah 2 hari, saya kecewa dengan buruknya aplikasinya."
Zulfa Yunita,1,9/14/2023 8:11,"aneh, apk nya ga bisa dijalankan, dan selalu ada keterangan hlaman yg anda lihat mungkin bukan versi terbaru. padahal udh di update"
Muhammad Zacky,1,9/18/2023 12:57,"Aplikasi tdk bisa dibuka, hanya gambar burung diam aja tdk bergerak. Semakin kesini malah makin kesana. Perbaiki dong"
Reza Abdillah,1,11/8/2023 13:19,Yang ada masalah itu Traveloka nya. Bukan koneksi di kita nya. Jadi tolong perbaiki
Tiyas 011,5,11/11/2023 11:04,"Traveloka enak banget sih memudahkan untuk pesan bis,hotel,dll.hidup jadi lebih no drama karena traveloka.kalain harus download pokok??????"
Fella Agustia,2,10/25/2023 13:27,"Andalan sih lebih memudahkan untuk beli tiket penerbangan, booking hotel dan pembayaran lebih fleksibel gak pakek ribet"
zaka arifianto17,5,10/19/2023 10:51,"Aplikasi recomended nih paling bagus buat boking tiket pesawat, hotel maupun kereta banyak juga promosi nya cara cepat dan mudah mantap pokoknya"
Tabitha Dinda,5,11/5/2023 8:26,"Udah sering kalau pulang pergi pake Traveloka, beli tiket pesawat gampang. Terimakasih Traveloka:)"
Lina Septiani,5,10/22/2023 8:36,"Terbantu banget dengan aplikasi ini.bisa keluar kota.tanpa harus mencari hotel fitur�,di Traveloka juga lengkap . Terima kasih Traveloka"
Dimms Reaper,5,10/26/2023 4:37,aplikasi nya keren bgt pokoknya top ini aplikasi....klo buat booking pesawat maupun hotel lancar bgt pokoknya the bestt!!!
Innova 2006,5,10/30/2023 12:31,Sekarang perjalanan semakin mudah dengan aplikasi ini boking hotel tiket pesawat jadi lebih gampang...ayooo buruan di unduh aplikasinya....di jamin top markotop....
Shendthodth Ezt Thobat,5,10/31/2023 7:21,"App yg amat membantu sekali, apalagi buat kita yg sering ke luar kota maupun keluar kota seperti saya. Tidak perlu binggung cari tiket maup tempat mengingat"
Etik Sundari,5,11/8/2023 8:31,"Membuat kemudahan untuk menjelajahi dunia dengan mudah dan murah, terus berpros menjadi l3bih baik lagi"
Wiwit Anto,1,10/6/2023 5:18,"Aplikasi kagak jelas...dari kemaren mau boking kereta api selalu sistem mengalami gangguan,nyesel juga download apk ny buang buang waktu dan kouta"
Andini Arisa Fitri,5,11/14/2023 10:43,"Aplikasinya baguss,banyak promo yg ditawarkan dan banyak jg pilihan destinasi wisata nya"
Mawar D.S,4,10/1/2023 3:36,"Saya sudah melakukan uninstall aplikasinya juga, pas nyoba masuk lagi, ttap sma. Setiap mau ngecek hotelnya. Pasti balik lagi ke menu awal"
BangNafithLubis Love LiverpoolFC,5,8/28/2023 17:18,Selalu memuaskan bila pesan tiket di Traveloka... Baik itu tiket pesawat maupun hotel... Alhamdulillah tidak ada kendala dan selalu lancar....
Anandatama RB,1,11/11/2023 0:52,"Ngajuin refund, estimasi refund 600rb'an. Ngecek aplikasinya lagi besoknya. Eh taunya proses rafund otomatis dibatalkan sama aplikasi (kalo ga ngecek lagi hangus uang saya). Ngajuin refund lagi. Estimasi refund jadi 300rb'an karena beda hari. Langsung di setujui. Mantap."
Yulia rahma,5,9/4/2023 9:39,"Saya merasa agak kecewa sama traveloka soalnya jd nasabah nya udah lama dan tidak pernah ada tunggakan tpi tidak tidak pernah ada tawaran paylater card BRI, yg ada hanya mandiri traveloka tolong donk pihak traveloka di chek nsabah yg baik nya"
Dhani Dharmansyah,5,11/16/2023 11:35,"Gak sia sia sih download Traveloka, banyak promo nya kualitas pelayanan bagus, terimakasih traveloka"
ismy nadia,5,11/16/2023 11:14,"Sekarang ga perlu susah lagi cari rekomendasi hotel dengan rating bagus. Cukup buka aplikasi, masalah terselesaikan."
Enih Azqia,5,11/17/2023 12:25,"Traveloka amat bagus sekali , aplikasi yg memudahkanku klau mau pergi kmna"", Poko y top markotop."
yoan werdiningsi,5,11/17/2023 11:20,"Traveloka sangat membantu bagi yg sering traveling, fitur2 nya juga ga meribetkan ????"
Elfan Priyantono,5,11/16/2023 10:31,"Sangat membantu sekali buat keluar kota , bahkan skrg ada paylaternya juga.."
jade west,5,11/16/2023 11:19,"Traveloka sangat memudahkan untuk membeli tiket secara online, selain itu banyak sekali diskonnya"
elok wijaya,5,11/16/2023 10:07,"aplikasi ini sangat bagus dan bermanfaat bagi saya , dimanapun dan kapanpun bisa cari hotel dgn hrg yg sangat bagus"
Telur Gulung,5,11/16/2023 9:46,"Traveloka terbaik, sangat mudah untuk pemesanan hotel"
Tegar mulya,5,11/17/2023 5:03,"sangat membatu sekali, buat perjalanan jauh biar gak ribet pesen tiket??"
Putri Novita Rahayu,5,11/17/2023 8:42,"Aplikasinya sangat membantu untuk mencari rekomendasi hotel, tiket pesawat, dan tiket tempat hiburan"
Rizqi Ramadhan,5,11/17/2023 8:47,"Aplikasi yg sangat membantu dalam setiap pemesanan dan reservasi hotel, serta pemesanan tiket pesawat dll, sangat recomended"
muhammad firman,5,11/16/2023 9:42,Aplikasi travel paling mudah cepat dan pastinya aman
Sugeng Hariansyah,5,11/17/2023 5:32,aplikasi yang mempermudah dan sangat membantu ?? terimakasih traveloka
Gilang Gardhiolla Gusvero,5,11/15/2023 6:53,"Pilihan yang tepat untuk perjalanan kita, Good!"
Ari Sutowo,5,11/8/2023 3:15,"Aplikasi ini sangat membantu bagi seseorang untuk transportasi serta memudahkan memesan tiket dan lain lain, aplikasi nya bagus dan jelas"
Shirley Kalijasuma,5,8/26/2023 8:38,"Beli tiket tidak sengaja dua kali ajukan refund tapi ditolak , tp setelah email di tlp oleh kantor diwakili oleh sdr. SOFYAN, dilayani dengan sabar dan dibantu sampai mendapatkan refund cepat sesuai regulasi traveloka. Yang pasti uang saya tidak hilang 100%. Terimakasih atas bantuan nya."
Indana W,5,11/3/2023 10:35,"Bagus, pake traveloka banyak potong an harga, lebih murah dr beli langsung Top pokoknya ??"
Rina Amaliah,5,11/6/2023 12:02,"Aplikasi yang sangat� membantu dalam perjalanan berliburr, dgn hrga terjangkau sdh dapat membantu dlam semua hall selama liburann kitaa, pokoknya the best bgtt"
Tio Exsa,5,11/4/2023 5:22,"Traveloka is the best, membantu banget, mudah dilakukan dan tentunya tidak ribet"
Evin Mahfiyyah,1,9/11/2023 2:04,Aplikasinya tidak bisa di buka. Segera diperbaiki. Soalnya saya ada transaksi yang sudah terbayar dan belum ada konfirmasi dari pihak traveloka.
Nur Kholid,5,11/10/2023 11:26,Aplikasinya mudah dioperasikan dan mudah dimengerti. Banyak hotel yang tersedia di aplikasi nya
Kibo BKF,5,10/26/2023 9:03,"pengguna baru aplikasi Traveloka juga akan mendapatkan diskon untuk berbagai produk Traveloka seperti diskon tiket pesawat domestik, diskon hotel, diskon tiket kereta, dan diskon produk lainnya"
Rafly_ Fr,5,11/3/2023 6:29,"Mantap sekali kita jadi lebih mudah untuk kemana mana ,dan apk nya sangat mudah untuk di pahamin"
PUSPARIANI HARAHAP,5,11/13/2023 11:23,"Aplikasi yg sangat baguss, banyak promonya juga, no ribet, buruan download traveloka"
Ella Destiana,2,11/9/2023 5:52,"Untuk sistemnya kenapa ya eror terus? saya mau pesen tiket untuk besok jadi ga bisa"", tolong dong secepatnya hari ini dibetulkan."
fadilah Na,5,11/15/2023 4:16,"Aplikasi yg sangat membantu sekali ,booking hotel & beli tiket jadi mudah ??????????"
Melyani Rosita Sari,5,11/3/2023 8:18,"Pokoknya puas banget pakai Traveloka, selain itu tiketnya juga terjangkau dan ekonomis buat yg mau liburan"
Nanda Pradnyaswari,5,11/14/2023 9:28,"Aplikasi ini memang bagus , jadi Gak susah lagi nyarik hotel ataupun Pesan tike pesawat ,, so bakalan pakek aplikasi ini terus ????"
Rizky Juniarti,1,10/8/2023 13:34,"Aplikasi yg g' akan pernah lagi saya download , amat sangat mengecewakan , beberapa kali melakukan pesanan slalu bermasalah ."
Mukhlis 159,5,9/16/2023 3:21,"Kenapa ya aplikasinya sekarang serasa berat dan lelet banget buka aplikasi atau milih pilihan di menu lelet banget sumpah, tolong di perbaiki, masa lambat banget kinerja aplikasinya, kan perusahaan besar kalian"
Idatul Faizah,5,11/3/2023 10:31,Traveloka sangat membantu memudahkan dalam mencari tempat tempat yang sesuai kita inginkan...
Pristi Sasmita,5,11/12/2023 10:41,"Aplikasinya sangat membantu,bisa pesan tiket apapun lewat sini,banyak promo juga,mantap"
Fitra Wansyah,5,10/30/2023 10:44,Sangat bermanfaat sekalian mempermudah saya untuk berpergian kemana aja aplikasi ini sangat membantu saya jangan ragu dehh kok aplikasi ini sangat recommended
Dedeh Agustin (Odonz),5,10/24/2023 11:24,"Traveloka sangat membantu. Sangat memudahkan kita untuk mencari hotel, harga tiket pesawat dll dengan harga2 terbaik . Best pokonya ??"
Pacitan Vespa,5,9/30/2023 3:24,Karena teraveloka telah mengembalikan limit playlater lagi saya apresiasi komitmen nya dan saya kasih bintang 5 lagi tapi jangan di batesin lagi selama kami masih rutin bayar dan tidak telat setiap jatuh tempo pembayaran nya saya butuh anda pun butuh..thank Traveloka
Malina Heti,5,11/17/2023 11:11,Tempat pesen tiket untuk holiday dengan sangat mudah dan cepat ??
Akh Hamka,5,11/17/2023 6:01,"Aplikasi bagus sekali, dapat mencari info tercepat"
Nur Azizah,5,11/3/2023 12:27,"Haloo gaiiis, untuk kalian yang belum pernah traveling pake traveloka wajib cobain yaaa. Pelayananny bagus bangettt??"
Hery Setyawan,5,10/26/2023 5:13,Keren yaa lebih mudah pakai traveloka untuk bepergian kemana mana . Pelayanannya juga sangat mudah dipahami
Daffa Saputra,5,11/7/2023 9:30,"Aplikasi traveloka tuh gampang di gunainnya, mau mau beli tiket sama pesen hotel gampang dan banyak disconnya, makasih traveloka"
Alfido Adha,5,11/13/2023 10:21,"Aplikasi yang sangat bagus, banyak destinasi yang didapatkan, dan paling utama banyak promo yang diberikan."
Den's Ad'nan,5,10/25/2023 4:41,"Teveloka emang the best sangat mudah, instant dan cepat kalo soal liburan kemanapun jadi lebih efisien"
Adnan Faisal Panji,5,8/28/2023 11:49,"Dah bertahun - tahun menggunakan Aplikasi Traveloka untuk pencarian akomodasi dan sangat berguna, baik buat keperluan pribadi atau kerjaan. Saya rasa baru traveloka yang dapat diandalkan buat mencari penginapan atau transportasi dalam posisi last minute, mudah digunakan, dan dapat harga yang sangat related yg pasti ga kemahalan.. Mantap..!"
Saiful Anggoro,3,10/10/2023 12:51,"Ini kenapa Traveloka gangguan terus ya dari kemarin, tiap mau cek harga tiket pesawat langsung keluar lagi dari aplikasinya, tolong dong di benerin"
Bengkulu utara,5,11/15/2023 11:19,Aplikasi ini sangat bagus untuk membeli tiket dan caranya juga sangat mudah
Muhammad Latief,5,11/17/2023 7:41,aplikasi yang bisa jadi pilihan saat inggin travelling
Fariz Rochman,1,10/28/2023 1:53,"Aplikasi tiba2 keluar, point Sudah d kumpulkan banyak2 jadi NOL. Mana tanggung jawab traveloka nih,. Tgl 24 sy post Ini,. Berapa hari kerja lagi point sy kembali,. Terimakasih"
Achmad Yudha,5,11/12/2023 11:23,"Aplikasi yang sangat bagus, banyak promo yang bisa di dapatkan, sangat memudahkan jika ingin bepergian"
Haeriyah 310,5,11/9/2023 6:17,Aplikasi ini sangat bagus . Sangat memudahkan saya untuk mencari tiket pesawat dan rekomend banget untuk harga nya
Fachri Muchlasul Amal,5,11/13/2023 11:51,"Aplikasi yang sangat bermanfaat, cocok untuk yang senang traveling dan survei tempat secara online"
Mochamad zawahirul Bukhori,5,11/12/2023 8:38,"Solusi cepat ketika mau liburan guys, memudahkan bangt dalam info hotel dan pesawat, pokonyaa di traveloka aja ????"
Devi Ramadhani,5,11/3/2023 6:42,Aplikasi traveloka paling nyaman untuk pemesanan tiket dan hotel. Very very helpful???
Niko Suryaaji,5,11/10/2023 9:22,Apk yang sangat bagus untuk mencari spot liburan dan mudah mendapatkan tiket pesaawat dan hotel
Olyvia Lisa,5,11/11/2023 4:07,Aplikasi yang sangat bagus dan sangat membantu.. Serta banyak promo2 menarik dan murah pastinya??
INGGAR ANANTO,5,11/2/2023 12:30,Tampilan aplikasi yg sederhana menarik dan mudah di gunakan kereennn
nunk queen,5,11/11/2023 11:21,"Aplikasinya sangat membantu ketika saya mau traveling,,serta bnyak promo yg menguntungkan"
Jefri Pamsky,5,11/4/2023 7:28,"Aplikasi ini sangat memudah kan saya untuk booking tiket,atau mencari hotel dengan sesuai budget kita"
Farah Mufidah,5,11/13/2023 4:08,"Aplikasi yang sangat bagus , banyak penawaran diskonnya , serta mudah di gunakan nya"
Jeremias Jas Suhetha,5,11/7/2023 22:52,Saya suka pelayanan Traveloka yang cepat dan saya mendapatkan harga hotel yang murah/promo
ian jore,5,11/15/2023 9:55,"Aplikasi yang sangat dibutuhkan buat saya yang suka traveling ,bagus banyak diskon dan juga sangat lancar"
Devita Ariani W,5,11/2/2023 15:02,Aplikasi sangat bermanfaat dan ngebantu banget.. Semua jadi mudah dg traveloka ??
Rifai Saya,5,11/3/2023 11:30,Aplikasi ini sangat membantu saya dalam memesan tiket pesawat dan booking hotel . Sangat mudah sekali . Saya merasa terbantu oleh aplikasi ini
Hilman Maulana,5,11/12/2023 3:38,Aplikasi bagus mempermudah kita untuk mencari kendaraan maupun tempat pokonya rekoment banget
Linda Permata Sari,5,11/4/2023 6:33,Apknya sangat bagus dan sangat nyaman digunakan Sangat berguna untuk memudahkan kita kalo ingin memesan tiket tanpa perlu keluar rumah
Desy Febrianna,5,11/5/2023 8:16,"Puas sama aplikasinya ini cocok buat kalian yang mau travelling., yuk buruan download traveloka ??"
Bambang Sutrisno 2OO723OO33,5,11/5/2023 8:07,"apk inisangagt bagus dan memudahkan pesan tiket,dan tidak perlu takut buat ke habisan tiket,karena tinggal cek aja di apk ini,,,good job pokok nya"
FTH 28_,5,11/15/2023 9:27,"Aplikasi ini sangat memudahkan perjalanan apapun, kualitas nya sangat baik dan terpercaya"
Ananda Saputri,5,11/7/2023 11:05,"aplikasinya sangat bagus untuk membeli tiket pesawat, dan konser.. sangat rekomendasi"
HT,5,11/4/2023 7:04,"Alpikasi sangat membantu, mencari tempat penginapan dan tiket gampang banget, dtrus banyak diskonnya lagi"
Yunri Yana,5,11/15/2023 11:14,"Proses cepat, pemesanan juga gampang.. Sukses terus traveloka"
iwan galuh,5,11/15/2023 4:40,"aplikasi bagus, sangat membantu untuk pemesanan hotel dsb, semoga promonya semakin banyak"
Yusniati Yusniati,1,11/4/2023 3:06,"Kok Traveloka skarang kalau pemesanan harus masukin nmor paspor,padahal saya bukan dari luar negri,,dri surabaya ke Padang butuh paspor kah,biasa nya ngk kayak gtu ditraveloka"
Kartika Dwi Mulyani,5,11/4/2023 8:06,Perjakanan dengan travveloka lebih mudah dan aman seru banget.
Mastur Mas,5,11/4/2023 8:24,"Aplikasinya sangat bagus dan mudah untuk digunakan, aplikasi ini sangat membantu banget untuk traveling jadi buruan download aplikasinya"
Alif Nofat Satrio,5,11/14/2023 11:25,Aplikasi berjalan sangat lancar. Banyak promo dan mudah di mengerti aplikasi nya !!!
Lilis Erlinda,5,11/3/2023 8:12,"Aplikasiny mudah digunakan, banyak diskonnya juga, memudahkan dalam mencari hotel atau tiket..."
Lia Nindy,5,11/15/2023 11:22,"Bagus dan menarik, untuk penjelasan dan detail apk mudah dipahami rating plus buat traveloka"
Dina Urfiyah Hanur,5,11/10/2023 5:44,"Sangat membantu kalau mau jalan-jalan ke luar kota, pesen hotel pake traveloka aja"
Lia,5,11/7/2023 6:21,Aplikasi ini sangat bagus membantu untuk melihat jadwal penerbangan dan banyak referensi liburan didalamnya
Muhammad Mustajib,4,11/4/2023 4:30,Kenapa isi saldo UANGKU via transfer BRI tidak dapat. Tolong dong gan di perbaiki lagi
Kang santri Mboro,1,11/9/2023 8:37,Saya memiliki pembayaran paylater setiap tanggal 11 Akan tetapi saat ini di tanggal 9 harus wajib bayar Kan dancok Aplikasi sudah tidak pantas di gunakan
Rizki Adiputra,5,11/15/2023 11:31,"Aplikasinya keren, mempermudah kita buat pembelian tiket kapanpun kita pergi."
Tika Mutiara Wati,5,11/5/2023 8:37,Aplikasi yang sangat membantu memberikan tiket akomodasi tempat dan kendaraan yang murah
Meta Putriani,5,11/13/2023 11:20,"Aplikasi yang sangat bagus, banyak destinasi yang didapatkan,dan paling utama banyak promo yg diberikan"
Aldi Fransetya,5,11/4/2023 5:29,"Apk yang mudah dan simpel untuk pesan tiket ke wahana permainan/ hotel ,saya suka Traveloka ??"
Lek Yar,5,11/14/2023 11:22,Senang bisa mengenal traveloka karna membantu perjalanan liburan lebih baik
nizhomun niam,5,11/7/2023 9:28,"Cepet dapetnya aman dan nyaman banget buat yang pengen traveling, mantul lah ini mantab betul ??"
Fathima Az Zahra,5,11/10/2023 10:45,App ini membantu banget buat traveler seperti saya. Jadi lebih mudah saat travel. ??
Aldo Rohil,5,11/15/2023 9:39,Alhamdulillah bagus apk nya bisa bawa saya ke keliling dunia dan gak fake� semoga lebih berkembang ya harga nya tiket juga murah� ????????????????????
Ana Anjarwati,5,11/10/2023 10:15,"App ini sangat membantu banget buat saya yang hobi jalan"", udh gtu banyak bgtt promonya. ??"
Jhun Taneo,5,11/1/2023 14:08,"Mencoba menggunakan aplikasi lain, hanya saja kurang memuaskan. Semnjak pake aplikasi Traveloka gak mau aahh pindah ke lain aplikasi??"
Ilham Bayki,5,11/8/2023 6:05,"Aplikasi nya mudah di gunakan, dan simpel untuk mencari hotel dll."
Proplayer Player,5,11/10/2023 6:15,"Aplikasi berjalan dengan lancar, bermanfaat untuk siapa yang download, terimakasih traveloka"
Eggi Ocshena,5,11/2/2023 11:09,"Aplikasi ini sangat membantu, mencari hotel yang nyaman dengan fitur yang mudah di pahami."
Dewa Fernanda Pratama Tampubolon,5,11/3/2023 9:28,"Sangat bagus, memudahkan kita saat melakukan perjalanan. Sukses terus Traveloka"
Alief Fattansyah Jamaludin,5,11/5/2023 10:25,"Aplikasi yang simpel, apalagi buat beli tiket pesawat, sangat mudah sekali"
Llisaa,5,11/9/2023 6:13,"aplikasi terbaik dan terbagus untuk mencari tiket pesawat & hotel, sangat the best."
Mega Yan Rahma,5,11/15/2023 5:11,Aplikasi yg sangat membantu ketika butuh reverensi hotel yg bagus. Sip deh pokoknya
Agus Riyanto,5,11/5/2023 3:47,"Aplikasinya bagus, memudahkan untuk membantu semua kebutuhan perjalanan."
Yumces Ecung,5,11/14/2023 9:47,"Sangat bagus pakai traveloka, sangat mudah digunakan dan murah"
